rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
5.0,Five Stars,Good,[],B000Y1MOIQ,B000Y1MOIQ,AEELS4HSWEPVSJIKZMGROAP7LWIA,1445127983000,0,True
5.0,Thanks,Thanks,[],B00TQYC9PA,B00TQYC9PA,AGDE5BSQTSPFM4XEJASGDHMDL4PA,1569704973466,0,True
1.0,Unreliable,"I have spent several years carrying an Inreach and it is hard to believe how unreliable this device is. Updating firmware is a nightmare. Syncing, nightmare. User Interface is clunky. Getting a computer to both use the sync/update software and actually see the device plugged in via USB is a nightmare. You can either go with a less robust satellite beacon or go full satellite phone - either is a more reliable alternative.",[],B01MY03CZP,B01MY03CZP,AGGQWIEYPNFJPFG4BHJKWWUH74JQ,1559858161908,3,False
1.0,Don’t waste your money spend a little extra get something better,Don’t waste your money spend a little extra get something better rarely connects charge doesn’t last but one 45 min call. Talks to you in Chinese n English. Why? This isn’t China! CHINA JUNK !,[],B07H8D6VQF,B07WQY1624,AHSVSGBDKQ262IHWAYCFNVMZCO2Q,1642647503790,0,True
5.0,Just what I needed,"Promptly received, very low cost, and functional to exactly what I wanted/needed. Thank you for your service.",[],B00026Z9CQ,B00026Z9CQ,AFCGXVCXSK3KGOZSKEH2Z4JCL4CQ,1193065526000,0,True
5.0,It Works,"Purchased this product hoping it will work. I installed it . I was having some pixelation and it stoped and picture was much better. It really improved signal strength. Well satisfied, would would buy again.",[],B084YQX5Q6,B084YQX5Q6,AE36NHMUDKACXIHVBTXPCARUILNQ,1634559529521,0,True
1.0,Hate kindle fire,"I hate this tablet.  Ithe worked fine for a while.  Now if I try to play a game it starts playing by itself, it opens programs and kindle books without me touching anything.  Guess you get what you pay for.",[],B00TSUGXKE,B010BWYDYA,AGDGE2DEAOSIWBQHP6NREKY2MUDQ,1476455316000,2,True
4.0,RF Dongle in bottom of mouse!,"For those of you who couldn't figure it out, like the folks who plug into USB and nothing happens -- there is a dongle in the bottom of the mouse. It looks like a black plastic block but you pull it out and it's a dongle.<br /><br />Plug the dongle into your USB and it works.<br /><br />Also the power is on when down. You can tell when power up because the LED flickers.",[],B071YHZ2T9,B071YHZ2T9,AE5FBWPSAAJHGX2Q2WZZUZPY6IWQ,1520385664581,0,True
5.0,Not renting any longer,Setup was fairly simple. I had to get the modem to be recognized by Comcast before it would work. Once that was done it’s been fine.,[],B0723599RQ,B091ZHX225,AH33RJ65LG5CP3ORY76FRYW3XCQA,1536174574990,0,True
4.0,Gets the job done without a big investment!,Working great so far! Have been using it daily (for about a month or so) to mirror work outs from an app to our TV.,"[{'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71dv4VL2NCL.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71dv4VL2NCL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71dv4VL2NCL._SL256_.jpg'}]",B07PGHS76Z,B07PGHS76Z,AHFWGRMPOA6MM2F3Y3UCFKLYMM3Q,1557790253097,0,True
5.0,Nice feel to it works great,Great value,[],B00H7PBWK8,B00H7PBWK8,AGHI7BP5LKCOLYLNI5DWSHHP5F2Q,1540181528073,0,True
3.0,"Great battery life, does not work for long","I have owned these ear buds for 3 months. They worked perfectly, until month 3.  They will disconnect by themselves with a full charge and you have to manually reconnect them.  Terrible",[],B092H1NQ19,B092H1NQ19,AE3UG6YQY5Q4DDDQ4MOHYYDD6EKA,1629937058669,0,True
4.0,Document Those Secret Codes!!!,"There are many, many secret little codes to do things on the TiVo Roamio. You need to create and maintain an on-line documentation of all of these codes and also  general documentation on this complex device.",[],B00E8HIN78,B00E8HIN78,AFO3NYR54FHKFFPHTBKJUMETFQ5A,1466784635000,0,False
5.0,Great gaming performance,"Run very hot, a cooling pad is mandatory",[],B09RMW1L7Y,B0BY2XGBCZ,AEICACQHYMHJLP6EJ3WYPF52WB3A,1672339412232,0,True
3.0,Great until it stopped charging...,"This was a great laptop until the power cord stopped charging it and the response from the seller was basically &#34;oh well, you're past the 90 day warranty.&#34;",[],B00MHX6TIA,B00MHX6TIA,AE4SMW3VS6LOHVHKSMS4QPTDN47Q,1477056515000,0,True
5.0,Night hawk router,"Very easy to setup, virtually sets itself up",[],B082X17B8P,B09SN7TZ99,AGAIRSQTKWDMWCQO53AGIEX55EOA,1626371543574,0,True
1.0,Can some tell me have they had this problem if yes tell me how to resolve it.Thanks William,I was missing the small  wiring harness in the kit I made my own can youll make up for that mistake?Thanks  William,[],B07J6BNWCY,B07J6BNWCY,AEPF2UNVAKTD4UXG3GNIZLZX54UA,1613686225525,0,True
5.0,Great versatile power strip,"It's great,  over time I have had several<br />Not because they break but because after you spill 2 cups of sticky,  gross protein beverages into something electronic it's kaput",[],B01MYN1DM8,B091DZ4ZD8,AHKR2A3UKBH2IKLYUA3MUZFPA5MQ,1535901209257,0,True
1.0,strength overestimated..,"I researched for several weeks for an articulating mount for my 50&#34; flat screen.  The reviews for this were outstanding.  So i put it on my wishlist, and received it for Christmas.<br /><br />-first knock against it, the back plate (that mounts flush to the wall) isn't a single piece.  It is 3 pieces of metal bolted together with hex bolts (hex wrench not included).  Other, higher quality, mounts are a single piece for regidity.<br />- a LOT of assembly required.  assembly isn't a big deal for me, as i'm fairly handy and have no trouble following crappy diagram directions.  but when its holding something this valuable... better directions would be appreciated.<br />- the claim is that this fits up to 65&#34; tvs and can hold 165lbs.  well, i can't comment on the 65&#34; claim, but i can say that the tv bracket was maxed out on my 50&#34; (but i'm assuming all tv's over a certain size have mounting screws in the same location, so their claim may be accurate).. but the 165lb claim, i'm calling bs.  my 50&#34; plasma weighs just under 100lbs (which was why i went with what I understood to be a &#34;beefier&#34; mount).  This system has 2 verticle pieces that mount to the tv, and they attach to a horizontal bar that is part of the wall mount.  When i hung my tv, the horizontal bar immediately began to torque and bent.  In the most vertical setting (since this design has a tilt feature), my tv was tilted down 30 degrees.<br /><br />i'm going to try to return this item (without completely deconstructing it.  and will buy Aeon wall mount instead (assuming Amazon doesn't try to screw me with this falsely advertised crap)",[],B000WL6YY8,B000WL6YY8,AGPWKFUBZB6S35ZVLUFEPYU7EDDQ,1390834073000,0,False
5.0,Couldn't be happier.,One of the power cords broke to my outdoor security camera. This power unit with its auto sensing and many adapters had it up and running again in a matter of seconds.,[],B088CT1FPV,B088CT1FPV,AGPUSOIZQI3KRPWDMMGKJWLJ3A5A,1644698253195,0,True
5.0,Love it love it,Love it love it. Easy to use. I am able to read it in the sunshine or in the dark. The screen is great.,[],B00OQVZDJM,B00OQVZDJM,AE6REOUWA4BLVOZ4DZRN3KLKR2TQ,1489984075000,0,True
1.0,IT WAS A $399 GAMBLE.,"One week after the warranty expired, so did the Kindle. This unit was not exposed to heat, moisture or rough handling. I turned it on one day and the entire screen was inked. I called customer service and they said they would not replace or repair it, but I could buy a refurbished one. So, I was out the $399 plus all of the books,magazines, etc. that I had purchased. It was an expensive year of reading. If they advertised this unit as prospectively a one-year-unit, they would not sell any. I would NEVER gamble again on a Kindle. I can buy a lot of books for the $ spent on a Kindle, and they won't up and vanish.",[],B000FI73MA,B010BWYDYA,AEOKOBCYJ5HSAAF72AZUIJOPQ6TA,1254774672000,4,True
5.0,Cheap. Good quality. Great customer service,The cheapest TT DC motor set that I could find on Amazon. Great customer service,[],B08JLYY77W,B09BCRSVBM,AGJK27FIYOK6FIUSCCOEAC6RCHNA,1613378260149,1,True
5.0,Outstanding stereo sound quality!,I’ve always had good sound in my life regardless of where I am.  This system went into my pool room/ man cave and I could not be happier.  We watch music videos of our favorite artists and musicians - fantastic sound!,[],B08LV4NP7L,B08LV4NP7L,AGWTF3AC2FLFXQZN5LDZYTK7XGIA,1643853086295,0,True
1.0,click click click,Annoying clicking/spitting sound.<br />Been trying to get through to customer service ; very difficult. Will probably have to ship it back. Pain in the neck,[],B002AQ30T0,B002AQ30T0,AEZOGATXHCTLXY2RYKJDYUDHGJ5A,1306973661000,1,True
5.0,Easy to install,Our new netgear router is sleek and easy to install. Gives us better wifi for gaming. We are still having trouble getting better coverage for our security cameras outside the home. Maybe it's the materials inside the walls stopping it. But overall it's better and glad we purchased it.,[],B07C65K9H9,B09P4Q7JK4,AEPNOPQFETZ7NSYXAGMXAW35YMDA,1547289123501,0,True
5.0,long cord!,"Nice small charger with a long cord, worked perfectly.",[],B00NUI2WGY,B00NUI2WGY,AH22TCFSRPJMXFNGPW5XAKDV4H2A,1489092734000,0,True
5.0,I didn't know I needed it until I bought it...,"Originally, I had only intended to use this enclosure to move files from old laptop drives across devices. Over time, I've found many other uses for it and honestly can't express how handy this device is.<br /><br />The performance is more than good enough for me, I've used this enclosure to boot operating systems on external drives, and have even run games from it. The read/write speeds through the USB 3 connection are probably even faster than the drives I'm using, so as long as your PC supports USB 3, it's definitely worth the investment... especially since it didn't cost me much to begin with.",[],B00DW374W4,B00DW374W4,AGU24GHAJQUO2WAO23OCEK6EAFSA,1571868869721,0,True
2.0,Eh. - revised,"This router replaced a DIR-655 that was out of warranty and even with the upgrade to the firmware would still drop out for no apparent reason.  I was hoping that a new router would fix this issue.....<br /><br />Set up was easy but there have been a couple of issues since set up about a week ago.<br /><br />1.) I had to cycle on the router yesterday as the wireless signal was there but nothing could connect regardless of what room they were in. (droid, laptop, Brother printer & ipod touch).<br /><br />2.) signal strength in the room that the unit is located in and in the room directly above and below is awesome but other than that it has been hit or miss.  Even when the signal strength is fair I get connection errors.  I called on this and they referred the problem up to the next level tech who was not working that day and I was scheduled to get a call back.  That call has never come in.<br /><br />3) Router WIFI is no longer working (12/19/2012).  Doubt I will by one of their products again.",[],B0044YU60M,B0044YU60M,AFTCP6CKOQWQWLFU2JXF4JZO7DUQ,1311618418000,1,True
5.0,Excellent remote for my Home Theater PC,"Looks great in the dark with the backlight, very responsive and easy to use.",[],B01N0SUUZS,B01N0SUUZS,AGWNPEYF22PV2DCFGASVDNUZKCUQ,1564087677359,0,True
5.0,When placed in a narrow shelf or placed into an ...,"When placed in a narrow shelf or placed into an enclosure the controls are difficult to see and use because they are on the top of the player.  I knew they were there before I bought this player. Didnt think it was going to be an issue.  I was wrong.  In the future, I would look for a DVD player where the controls are the front.",[],B00BFDHVAS,B00BFDHVAS,AFY3HCCUCVAPICBMT3FCO7GASBOQ,1386886704000,1,True
3.0,"Brightness is good, do not like the case","Brightness is good, but I HATE the case that comes with it. It can get over-saturated with colors. Though not a bad monitor, just not for me and my needs.",[],B08CVQ5SD9,B09M8DYH1B,AHTXL5XF5AKCC5UZQAT4MCLDESRA,1641393457918,0,True
5.0,Five Stars,Love this so far!!! Glad I got the deal that I did!,[],B00ZV9RDKK,B075X8471B,AG2LXZ7KWI7BMPO33J3HFTDXR32Q,1520372976328,0,True
5.0,Five Stars,"Love this!!!<br />Flawless pairing, it worked beautifully with my tablet!",[],B00X5P8BJO,B00X5P8BJO,AEZZHEZ7PQ3NDDHW3Z63DOQI63JQ,1518997117739,0,True
5.0,the unit worked as soon as you plug it in,"I am partial to Western Digital, so far no concerns",[],B06XG892ZH,B09MKCVFTY,AHWPKPTOCG22W4KHAPYNUZL4RAUA,1631775570720,0,True
5.0,Time to upgrade my computer graphics!,"My old monitor was fading and having been pleased with previous LG products decided to give this a try and glad I did. Clean functional look and gives me more desk space. Picture is fantastic and colors look natural and also many simple adjustments for different uses. Plenty of inputs for several sources, I have three computers plugged in to it.<br />Speakers are useful if you have none but I already had a desktop sound system which is much better.<br />The small joystick control is a pleasure to use after years of the multi button systems that never felt natural.<br />Some complained of the stand being cheap but I find it sufficient for what it is doing.<br />Very satified with this purchase!!!",[],B08CVTTNN4,B0BXDZVPQ5,AGEYBAP4GGXRCA6JJYNRGWHGFHKQ,1624228260692,0,True
5.0,Good investment,Best bang for the buck coverage out there.  A must if your gadgets are around little kids or people who have bad luck with electronics.,[],B008I647MA,B008I647MA,AGHLO3BOFP3ZQMPIXAOGW6DXT7NQ,1387036128000,0,True
5.0,Five Stars,Exactly what we needed for a great price!,[],B00CF3TZG0,B00CF3TZG0,AFVOVJMQH535NFCJVUDRXGU4M2UQ,1419971183000,2,True
4.0,Good battery to have instead of other non performer batteries,Good battery to have instead of other non performer batteries<br />I would recomend this battery to anyone else.. good to have..,[],B002PNVTV4,B002PNVTV4,AENVVK7OI7U7HR3JVRXMHFQYWGTA,1380755661000,0,True
5.0,Unicorn instamax camera case and accessories perfect for your lil ones camera and scrapbook,"Perfect case and scrapbook for my lil granddaughter, perfect camera case for your camera and my granddaughter loves the unicorn design!",[],B0813BWNHC,B0813BWNHC,AGJIRWOP56KOHLBJIB4NYPOH7XMQ,1581199894305,0,True
5.0,Five Stars,Great little speaker for the price!,[],B016XTADG2,B0935ZDCYD,AGOIOMNTAQFTAJ24TXTW2SGIFRKQ,1507136150798,0,True
5.0,Love it!,"The stand is really sturdy and its slick sliver looks is very stylish! As said in other comments, it is hard to adjust but that just adds points to stability!!",[],B08HJ6DVWP,B08HJ6DVWP,AHAGCRZYTTPXYAH5TKIYKJQSBMGA,1628715016293,0,True
5.0,"Works great, does exactly what it says it will",Used this block to adapt over video and audio to save VCR tapes over to digital.  Inexpensive and priceless considering what I acheieved using it.,"[{'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71o+lhxVYGL.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71o+lhxVYGL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71o+lhxVYGL._SL256_.jpg'}]",B01L8GG6PW,B01L8GG6PW,AHQT6G3VTBI4H37JXKTVPX3W6L2A,1579452429496,0,True
4.0,Four Stars,"Works Ok , but I had to shave the back to fit the wall mount",[],B001UCAESU,B0862W5BQ8,AGCXY3UF34E2UIUNK4PQFQSLX4KA,1462358528000,0,True
4.0,Cheap but gets the job done,For the price you cannot expect decent sound quality. I bought because my kids need these for class and they keep breaking and losing their headphones. Ordered a large enough set to just throw a new one in their backpacks.,[],B09G3HGJRG,B0BWTZ98V9,AGLOLG3RUUZQC7KQ3DSQTUKU3JJA,1636732097193,0,True
1.0,This bag is awesome but it’s lifespan is only about 2 months,"This bag is wonderful, until the Velcro stops sticking and the zippers fall apart 2 months after beginning to use the bags for simply walking 2 blocks from my car to the office, twice a day. Do. Not. Buy. This. Bag. Unless you only want it for 2 months. Then it’s perfect for you.",[],B07N2SLGYT,B07N2SLGYT,AEMP45P7POQM565IYIQAJJQAS4AQ,1565133488774,1,True
5.0,Perfect iPhone writers companion.,"I’m excited about this keyboard.<br /><br />I bought it to turn my aging iPhone Se (older version) into a writing machine because my MacBook’s screen no longer works due to a... coffee related incident. I wanted to start writing again and realized that even though my phone is super old, it’s also still super snappy compared even to my laptop, making it an ideal typewriter.  At this task, paired with a Bluetooth mouse and stand, it works perfectly. Once paired, it seamlessly finds my phone whenever I turn it on and maintains the connection without issue.<br /><br />There are a number of keyboards on Amazon with the same design but it’s a good one. It feels solidly built but also thin when you pick it up.  The battery (non replaceable) compartment acts as a handle and also angles they keyboard down slightly like most keyboards.  At $20 it is a perfectly serviceable product despite some minor design flaws.<br /><br />There are a number of iOS related adjustments the designers made to this keyboard layout that are different from a standard one meant for a desktop. The most notable examples are the replacement of the escape key with a “home” button key and the delete key which puts your iOS device to sleep/lock. The escape key switcharoo is actually very intuitive as they have very similar functions. I double tap the home/esc key to pull up the task switcher and tab through applications like i used to do on my mac. You will find all the global shortcut keys, where the function keys are, to work as expected. Screen brightness, volume, screen capture etc.<br /><br />Oddly the designers replaced the right hand “command and option” buttons with a dedicated backlight on/off toggle and accompanying RGB button. It’s a strange compromise but even with my heavy keyboard navigation in iOS, I never find I miss them. That said I also wish they would have just put the backlighting button or switch on the back side of the keyboard. I occasionally push them unintentionally but it’s not bothersome at all. The on/off switch and paring button are on the bottom of the keyboard which is more inconvenient than having it accessible on the rear or side of the keyboard. Instead I’m either flipping the whole thing over or fumbling with my finger underneath, often mistaking the on/off button for the Bluetooth pairing button. Again it’s fine for $20 and my usage. I’m picking it up and chucking it in my bag all the time anyway so it’s not that noticeable and doesn’t really mess with the seamless flow of turning the phone in my pocket into a mini portable typewriter.<br /><br />I haven’t run the battery down yet but it does seem to drain rather quickly. I don’t expect the battery to last forever but you could easily plug it into a battery pack which I usually have anyway when sitting with my phone for long writing sessions. The company says you can use it while it’s charging so it will still be usable if the battery does fail someday. Again for $20, battery life is not a deal breaker. I haven’t tested it but think it would last many hours on a full charge while backlit I forget what is advertised.<br /><br />The battery might be draining faster because I tend to use it in the dark. I bought the backlit version for this reason and as such find any color setting other than red to be too bright for my taste. I’d be happy with just an on/off button without the RGB options. I tend to turn on dark mode on my phone and just type away in the dark listening to music.<br /><br />It feels similar to my MacBook keyboard which is nice. I would guess it’s probably the same size in its layout too. The look of the black one is great in my book.<br /><br />I would pay more for this if my other suggestions were implemented and they were able to get some kind of phone charger capability in there but then you would probably have to make it heavier and thicker. If you don’t need a backlit version, their other model hasn’t replaced the command and option buttons and it probably has better battery life.",[],B08CK5G9ZX,B08CK5G9ZX,AEZXAJMY2ZUMAZXM4UWESNEKO6SQ,1612912445800,0,True
1.0,One Star,it doesn't work,[],B00SWEZXOY,B00SWEZXOY,AETVRKGLQQDXNWD3Z7QUAA66U5IA,1461298484000,0,True
1.0,One Star,bad america,[],B00VSJE1MU,B00VSJE1MU,AE7OHFKSQOQAC5BQELZWEIM34IZQ,1439868174000,0,False
5.0,Low Price - Great Sound,"Paid just a bit over $12 for this stereo and it sounds amazing! The Bluetooth paired with my phone right away and I like the SD Micro slot on the front - makes it easy to toss in a ready-to-play mix! Also like that it handles more than 999 songs (files), as my last stereo could not count past 999 and would return to the first song, despite there being several thousand songs on the card. The pre-configured EQ settings (Pop, Rock, Classical, etc.) were not to my liking but you can just shut them off and adjust the bass/treble the way you want it. For the price...I am very happy! Also comes with a small remote (so the passenger can mess with the stereo while I'm driving?). Watch the reviews on YouTube about this stereo - that's how I found it, some good information on those videos.",[],B07NJQVXDW,B07NJQVXDW,AF7FXP4FBMF5MKEHYR7PYBNNPLOA,1560819163981,0,True
5.0,Very satisfied just what I ordered and works great.,"It is very easy to install. All you need to do is plug one end into the TV and plug the usb into the TV as well. You can place it anywhere you want. Try different positions around your TV area to get better results. Great antenna, compact and easy to install.",[],B0BPMJL891,B0BPMJL891,AHFEMNYIWZKBEMV3ANPUOXJKT6ZA,1672391898081,0,True
1.0,Terrible tech support,"I spent hours on the phone with tech support trying to set up the system.  The tech support person admitted they don't have instructions for the software in my new unit and that there are several versions that it could be.  After hours of trying to match instructions to my unit, I gave up and returned the system.  I don't recommend this or any Annke product.  Don't waste your time with this company,",[],B00GB1IHSY,B00GB1IHSY,AGLFOHCITENTLID4VHVBUJU4SIZQ,1659652489237,1,True
5.0,Using right now!,"This is a good little wireless mouse for everyday use.  You know you've gotten old when you no longer have the patience to use the pad on your laptop...this mouse has saved me from many frustrations.  I've had for several months now and no problems.  I transport it in my laptop bag, so I'm sure it gets bumped around quite a bit, but it's always ready to work when I am!  I keep it ""off"" when not in use, and haven't had to replace batteries yet.",[],B01MZZR0PV,B071Y2SG3R,AEA6Z6NG45BRBKACOBEMCTUBAAPA,1586262805790,0,True
5.0,the best,The BEST stuff for scratchy pots & knobs !,[],B0002BBV4G,B0BZ7J6MG1,AFGOABV6AUH3KXML3PRNG6KKJQJQ,1662383099481,1,True
5.0,Item as described!,05 Durango,[],B0002BEQNE,B00XIYJ2PE,AE3IQUEZWKMJ345VTAIK5O7Y4P5Q,1560920704099,0,True
3.0,Nice but not Practical,"The case is nice, made well, and durable the only reason I gave 3 stars is it’s made backwards. The flap is underneath the case so when you pick the iPad to open it you must turn it over and flip it around. I sounds simple but it’s a bit annoying",[],B07QN2NZQG,B07QN2NZQG,AEJ7Y7JKBO5C3D56FRZYKOCP5L7A,1591955213114,0,True
5.0,Five Stars,Works well.,[],B0058VIWTM,B0C3TF6XZZ,AGVFXLEQXT4HTWJGNGW6AFNQG2LQ,1500734272413,0,True
5.0,Good product.,Pretty sturdy and fits pretty well with my iPad. Recommended.,[],B07ZPBY26Z,B09ZV66F82,AH5UUZM57FRFAYHRR6N25LV2JOHA,1650429008225,0,True
5.0,TWO DAY SHIP TO RECEIVE,WELL MADE. EASY TO INSTALL. I CAN REMOVE AND MOVE OR RE-USE.,[],B01MFAIFU2,B0BKR9NMMF,AE2QVKQH4AQQFCEUNOKBPVWS4XZQ,1575857478532,0,True
5.0,Got it on sale - Runs well,"I recently installed a Samsung Evo 860 in someone else's laptop. The difference it made reminded me of how much faster they are. I've been shopping around for an SSD for me. Saw this one was on sale - around $85 for 1TB. So I snatched it up. The SSD works fine, no issues there. I did miss being able to use the Samsung cloning software. I used ""Minitool Partition Wizard""  that was already on my computer to do the cloning. It took all day. I should have downloaded the Macrium software that SK Hynix recommended and used that.<br /><br />Once installed, my Asus x550jx now has 2 SSD's - A boot drive Samsung 850 EVO from a couple years ago and the SK Hynix for storing my videos and games (Installed in the Sata2 optical drive slot. Note this caps the sequential read/write speeds to about half of sata3. Random read/write unaffected).<br /><br />Very satisfied. I would recommend.",[],B07SNHB4RC,B07SZCZH1P,AG4NBG3FJUOPYU4UDTVR4UOIXWAA,1583762258883,0,True
4.0,It's light and easy to carry,"It's light and easy to carry. However, this tripod is not vary stable for heavy and professional cameras. It works well for beginners' cameras.",[],B005KP473Q,B07BX4X77P,AHPGKUYRQEP6RVKKOFPHIFP7CRQQ,1444954183000,1,True
5.0,Great shirt,Great shirt and great price,[],B07771ZB1B,B07771ZB1B,AGC4BQLBGGFPFPI7ULLAWIVNOVWQ,1541025200624,0,True
2.0,"To be a useful device, this one needs to be easily accessed ...","Unfortunately, I read the reviews after I ordered the unit. There is no documentation with it. Amazon should stop selling it until documentation is available. (Look at the other reviews.) While the unit is cute, you have to forward port 80 to it to access it over the Internet. Well, port 80 is used by other devices. Be aware that 30000 is listed as a port, but it's a virtual folder.<br /><br />To be a useful device, this one needs to be easily accessed over the Internet, which requires the ability to change the port. I haven't decided whether to return it yet, but I probably will for $50. It's probably worth $20, as is.",[],B00SXZV4EK,B00SXZV4EK,AFM6OHN6LJFNPATM5QQRJAPDQABQ,1492738343000,3,True
1.0,Remote did not work,this did not work on my TV this was for a sharp and I have a slyvania. could not find any instructions on how to get this to pair with my TV.,[],B07QJD5KDF,B07QJD5KDF,AEERWXA2RLCNJONFP3ASJOR5HHJA,1639595056778,0,True
5.0,Incredible Value and custome service,Six stars not only for the incredible value but also the customer service.  I have received an number of servers via UPS/FedEx and this server was packaged as good as or better than most but arrived with a couple of drive blanks damaged the hdd next to the damaged blank acting intermittently. Customer service was responsive and shipped replacement parts via FedEx immediately.  Could not ask for a better experience,[],B075Z3F37Z,B075Z3F37Z,AFKPJVDWQ356SRKNAQMG7B2KCQWQ,1682421425547,0,True
5.0,I absolutely love it!,I absolutely love it!! I find myself grabbing my tablet more than my phone! No data overages!!  The size is perfect...stays charged all day! I just love AMAZON period! Thank you for your exceptional services!;,[],B01GEW27DA,B07P374FF3,AHCKI3M7L6A2UPNIBADZUJK2APTA,1518309306846,0,True
5.0,Óptimo,Ideal,[],B076FN2GSQ,B0BGS23YKX,AF3NSTTYAVY47UXX27SMXMK2DDMA,1539020758467,0,True
